Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos,class,attackType,attackID,attackDescription
14-03-2017,81412.697,TCP  ,EXT_SERVER,8082,OPENSTACK_NET,56978,3057,   2.1 M,1,.AP...,0,normal,---,---,---
14-03-2017,81412.697,TCP  ,OPENSTACK_NET,56978,EXT_SERVER,8082,4748,   2.5 M,1,.AP...,0,normal,---,---,---
14-03-2017,81504.787,TCP  ,EXT_SERVER,8082,OPENSTACK_NET,56979,8639,   9.1 M,1,.AP...,0,normal,---,---,---
14-03-2017,81504.787,TCP  ,OPENSTACK_NET,56979,EXT_SERVER,8082,12024,  10.3 M,1,.AP...,0,normal,---,---,---
14-03-2017,82100.692,TCP  ,EXT_SERVER,8082,OPENSTACK_NET,51649,11012,  27.2 M,1,.AP.S.,0,normal,---,---,---
14-03-2017,82100.692,TCP  ,OPENSTACK_NET,51649,EXT_SERVER,8082,14186,   1.2 M,1,.AP.S.,0,normal,---,---,---
14-03-2017,83640.139,TCP  ,EXT_SERVER,8082,OPENSTACK_NET,37039,9974,  31.9 M,1,.AP.S.,0,normal,---,---,---
14-03-2017,83640.139,TCP  ,OPENSTACK_NET,37039,EXT_SERVER,8082,16476,   1.7 M,1,.AP.S.,0,normal,---,---,---
14-03-2017,86303.297,TCP  ,EXT_SERVER,8082,OPENSTACK_NET,48380,10178,  25.2 M,1,.AP.S.,0,normal,---,---,---
14-03-2017,86303.297,TCP  ,OPENSTACK_NET,48380,EXT_SERVER,8082,14552,   2.6 M,1,.AP.S.,0,normal,---,---,---
14-03-2017,87709.785,TCP  ,EXT_SERVER,8082,OPENSTACK_NET,50807,17031,  52.5 M,1,.AP.S.,0,normal,---,---,---
14-03-2017,87709.785,TCP  ,OPENSTACK_NET,50807,EXT_SERVER,8082,24706,   3.5 M,1,.AP.S.,0,normal,---,---,---
14-03-2017,183356.392,TCP  ,EXT_SERVER,8082,OPENSTACK_NET,60803,24161,  64.8 M,1,.AP...,0,normal,---,---,---
14-03-2017,183356.392,TCP  ,OPENSTACK_NET,60803,EXT_SERVER,8082,34136,   9.8 M,1,.AP...,0,normal,---,---,---
14-03-2017,183418.493,TCP  ,EXT_SERVER,8082,OPENSTACK_NET,60802,13266,  33.0 M,1,.AP...,0,normal,---,---,---
14-03-2017,183418.493,TCP  ,OPENSTACK_NET,60802,EXT_SERVER,8082,20751,   5.8 M,1,.AP...,0,normal,---,---,---
15-03-2017,0,TCP  ,10000_214,8830,EXT_SERVER,23,1,46,1,....S.,0,suspicious,---,---,---
15-03-2017,0,TCP  ,EXT_SERVER,23,10000_214,8830,1,40,1,.A.R..,0,suspicious,---,---,---
15-03-2017,15.42,TCP  ,EXT_SERVER,22,10001_123,4589,19,3093,1,.AP.S.,0,suspicious,---,---,---
15-03-2017,15.42,TCP  ,10001_123,4589,EXT_SERVER,22,13,2843,1,.APRS.,0,suspicious,---,---,---
15-03-2017,0,TCP  ,10002_148,18816,EXT_SERVER,23,1,46,1,....S.,0,suspicious,---,---,---
15-03-2017,0,TCP  ,EXT_SERVER,23,10002_148,18816,1,40,1,.A.R..,0,suspicious,---,---,---
15-03-2017,14.644,TCP  ,EXT_SERVER,22,10001_123,3477,18,2985,1,.AP.S.,0,suspicious,---,---,---
15-03-2017,14.644,TCP  ,10001_123,3477,EXT_SERVER,22,13,2843,1,.APRS.,0,suspicious,---,---,---
15-03-2017,0,TCP  ,EXT_SERVER,23,10003_214,42182,1,40,1,.A.R..,0,suspicious,---,---,---
15-03-2017,0,TCP  ,10003_214,42182,EXT_SERVER,23,1,46,1,....S.,0,suspicious,---,---,---
15-03-2017,62.046,TCP  ,10004_35,57382,EXT_SERVER,22,7,420,1,.APRSF,0,suspicious,---,---,---
15-03-2017,62.046,TCP  ,EXT_SERVER,22,10004_35,57382,12,4773,1,.AP.SF,0,suspicious,---,---,---
15-03-2017,14.313,TCP  ,EXT_SERVER,22,10001_123,3398,20,3065,1,.AP.S.,0,suspicious,---,---,---
15-03-2017,14.313,TCP  ,10001_123,3398,EXT_SERVER,22,15,2871,1,.APRS.,0,suspicious,---,---,---
15-03-2017,0.001,TCP  ,10005_82,24989,EXT_SERVER,7547,1,46,1,....S.,0,suspicious,---,---,---
15-03-2017,0.001,TCP  ,EXT_SERVER,7547,10005_82,24989,1,40,1,.A.R..,0,suspicious,---,---,---
15-03-2017,13.486,TCP  ,EXT_SERVER,22,10001_123,2645,20,3065,1,.AP.S.,0,suspicious,---,---,---
